,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
127,6/16/1981,0.569196,0.569196,0.566964,0.566964,0.025408,9312800,0.567634,0.572225857,0.556513818,0.534413442,0.62121349,0.491814147,0.502564745,0.489750429,0.585296518,11.61518313,0.023523423,56.25642953
128,6/17/1981,0.560268,0.560268,0.558036,0.558036,0.025008,6893600,0.5671876,0.569993714,0.559557682,0.535489859,0.617280289,0.501835075,0.50407125,0.49041295,0.584668779,9.736380268,0.018071833,52.89068247
129,6/18/1981,0.558036,0.560268,0.555804,0.555804,0.024908,5762400,0.5654019,0.567442714,0.562094227,0.536415417,0.613397053,0.510791401,0.505550728,0.4911127,0.583706768,8.773902388,0.014938256,52.0522397
130,6/19/1981,0.542411,0.542411,0.540179,0.540179,0.024207,6876800,0.5629466,0.563775643,0.564326409,0.536586876,0.606060842,0.522591976,0.506969967,0.491845144,0.580695871,4.21403209,0.011017712,46.49554981
131,6/22/1981,0.522321,0.522321,0.520089,0.520089,0.023307,2710400,0.5604912,0.560746286,0.564935182,0.535835354,0.603410372,0.526459992,0.508289578,0.492604151,0.575241478,-1.655870134,0.005008071,40.50784391
132,6/23/1981,0.529018,0.533482,0.529018,0.529018,0.023707,3757600,0.5578126,0.558354714,0.564630818,0.535524836,0.60416601,0.525095626,0.509534342,0.493385031,0.571356514,0.992122043,0.000572404,43.96197985
133,6/24/1981,0.520089,0.520089,0.515625,0.515625,0.023107,5756800,0.5531251,0.554209286,0.562601591,0.53461852,0.607318393,0.517884789,0.510680505,0.494182226,0.565996269,-0.505355663,-0.002446724,40.19247588
134,6/25/1981,0.526786,0.529018,0.526786,0.526786,0.023607,6064800,0.5470983,0.551498857,0.561181136,0.534261828,0.608419907,0.513942366,0.511757743,0.494991812,0.562504066,2.718875673,-0.006238545,44.46590572
135,6/26/1981,0.524554,0.524554,0.520089,0.520089,0.023307,5947200,0.5410715,0.549745,0.558035818,0.533616455,0.606628227,0.509443409,0.512756062,0.495809595,0.558390772,2.190792923,-0.01028791,42.50342
136,6/29/1981,0.506696,0.506696,0.502232,0.502232,0.022507,2648800,0.5334822,0.545918429,0.554078818,0.53218745,0.606066795,0.502090841,0.513643329,0.496630099,0.55226246,0.027152147,-0.016068641,37.72268332
137,6/30/1981,0.466518,0.466518,0.464286,0.464286,0.020806,8976800,0.5232144,0.538903143,0.548295545,0.529095984,0.610193582,0.486397509,0.514348775,0.497444858,0.541686485,-3.572247164,-0.022049609,30.00047851
138,7/1/1981,0.462054,0.462054,0.459821,0.459821,0.020606,42616000,0.5133929,0.529815071,0.542309318,0.525942217,0.611709295,0.472909342,0.514877935,0.498246061,0.531438906,-1.885928809,-0.028130776,29.24192735
139,7/2/1981,0.459821,0.462054,0.459821,0.459821,0.020606,7571200,0.5037946,0.521205357,0.537642091,0.522932239,0.614736104,0.460548078,0.515245489,0.499026941,0.522087191,-0.094310579,-0.032079936,29.24192735
